"variable","Heritability","method","Methodology","Hits_Format","Errors_Format"
9,"0.5","MLMM","MM","0 ± 0","0 ± 0"
9,"0.5","SUPER","MM","15.4 ± 5.37","372.2 ± 143.76"
9,"0.5","BA","ML","73.08 ± 1.69","899.04 ± 38.29"
9,"0.5","BO","ML","62.62 ± 3.02","415.88 ± 15.27"
9,"0.5","DT","ML","10 ± 0.9","71.2 ± 8.53"
9,"0.5","MARS 1","ML","3.2 ± 1.18","6.8 ± 1.18"
9,"0.5","MARS 2","ML","7.4 ± 1.03","16 ± 2.02"
9,"0.5","MARS 3","ML","17.8 ± 2.51","51.6 ± 4.68"
9,"0.5","RF","ML","72.98 ± 1.82","965.02 ± 37.48"
10,"0.5","Blink","MM","2.6 ± 1.37","4.2 ± 1.18"
10,"0.5","CMLM","MM","0 ± 0","0 ± 0"
10,"0.5","FarmCPU","MM","10.6 ± 3.42","88.2 ± 49.78"
10,"0.5","GLM","MM","51.8 ± 9.27","720 ± 111.86"
10,"0.5","MLM","MM","0 ± 0","0 ± 0"
10,"0.5","MLMM","MM","0 ± 0","0 ± 0"
10,"0.5","SUPER","MM","47.2 ± 4.58","609.6 ± 51.65"
10,"0.5","BA","ML","110.18 ± 2.65","723.8 ± 27.58"
10,"0.5","BO","ML","96.06 ± 3.15","335.96 ± 13.37"
10,"0.5","DT","ML","19.8 ± 3.58","51.4 ± 6.08"
10,"0.5","MARS 1","ML","4.4 ± 1.51","5.6 ± 1.51"
10,"0.5","MARS 2","ML","10.8 ± 3.28","12.8 ± 3.22"
10,"0.5","MARS 3","ML","25.2 ± 6.01","52.2 ± 4.92"
10,"0.5","RF","ML","110.78 ± 2.43","776.16 ± 30.61"
11,"0.5","Blink","MM","3.4 ± 2.97","0.6 ± 0.81"
11,"0.5","CMLM","MM","0 ± 0","0 ± 0"
11,"0.5","FarmCPU","MM","26 ± 8.48","33.2 ± 16.75"
11,"0.5","GLM","MM","106.6 ± 16.4","223 ± 34.49"
11,"0.5","MLM","MM","0 ± 0","0 ± 0"
11,"0.5","MLMM","MM","0 ± 0","0 ± 0"
11,"0.5","SUPER","MM","111.8 ± 16.8","223.4 ± 29.92"
11,"0.5","BA","ML","220.26 ± 4.5","253.92 ± 9.79"
11,"0.5","BO","ML","183.86 ± 5.9","103.3 ± 8.85"
11,"0.5","DT","ML","34.8 ± 2.51","21.6 ± 5.52"
11,"0.5","MARS 1","ML","9.2 ± 0.76","0.8 ± 0.76"
11,"0.5","MARS 2","ML","20.6 ± 1.37","4.2 ± 0.99"
11,"0.5","MARS 3","ML","52.4 ± 3.97","23 ± 6.39"
11,"0.5","RF","ML","219.3 ± 3.91","267.76 ± 10.61"
13,"0.8","Blink","MM","5.2 ± 1.18","3 ± 0.9"
13,"0.8","CMLM","MM","0 ± 0","0.2 ± 0.4"
13,"0.8","FarmCPU","MM","5 ± 1.28","2.6 ± 0.81"
13,"0.8","GLM","MM","6.6 ± 0.49","353.4 ± 89.21"
13,"0.8","MLM","MM","0 ± 0","0.2 ± 0.4"
13,"0.8","MLMM","MM","3.6 ± 1.87","2.6 ± 1.37"
13,"0.8","SUPER","MM","7.4 ± 0.49","571.4 ± 86.29"
13,"0.8","BA","ML","8 ± 0","292.16 ± 20.2"
13,"0.8","BO","ML","8 ± 0","179.86 ± 22.79"
13,"0.8","DT","ML","7.4 ± 0.49","33.4 ± 5.37"
13,"0.8","MARS 1","ML","8 ± 0","1.8 ± 0.4"
13,"0.8","MARS 2","ML","8 ± 0","3.8 ± 0.76"
13,"0.8","MARS 3","ML","8 ± 0","51.2 ± 4.97"
13,"0.8","RF","ML","8 ± 0","304.34 ± 23.42"
14,"0.8","Blink","MM","4.2 ± 2.59","2.6 ± 0.49"
14,"0.8","CMLM","MM","0 ± 0","0 ± 0"
14,"0.8","FarmCPU","MM","7.6 ± 2.36","125.4 ± 75.44"
14,"0.8","GLM","MM","19 ± 3.5","1122.4 ± 227.35"
14,"0.8","MLM","MM","0 ± 0","0 ± 0"
14,"0.8","MLMM","MM","0 ± 0","0 ± 0"
14,"0.8","SUPER","MM","19.6 ± 2.6","1052 ± 131.35"
14,"0.8","BA","ML","38.28 ± 1.13","970.3 ± 20.35"
14,"0.8","BO","ML","35.32 ± 1.57","440.62 ± 20.09"
14,"0.8","DT","ML","6.6 ± 1.51","86 ± 2.86"
14,"0.8","MARS 1","ML","2.4 ± 0.81","2.8 ± 0.76"
14,"0.8","MARS 2","ML","5.6 ± 1.21","7.8 ± 0.76"
14,"0.8","MARS 3","ML","10.2 ± 0.99","30.2 ± 0.99"
14,"0.8","RF","ML","37.88 ± 1.12","1046.26 ± 22.58"
15,"0.8","Blink","MM","2.8 ± 1.62","2 ± 1.81"
15,"0.8","CMLM","MM","0 ± 0","0 ± 0"
15,"0.8","FarmCPU","MM","14.2 ± 3.96","224.6 ± 79.2"
15,"0.8","GLM","MM","38 ± 6.48","1038.2 ± 189.37"
15,"0.8","MLM","MM","0 ± 0","0 ± 0"
15,"0.8","MLMM","MM","0 ± 0","0 ± 0"
15,"0.8","SUPER","MM","38.4 ± 9.32","974.2 ± 216.23"
15,"0.8","BA","ML","72.98 ± 1.92","844.32 ± 24.28"
15,"0.8","BO","ML","66.14 ± 2.67","401 ± 14.21"
15,"0.8","DT","ML","11 ± 4.09","69.8 ± 11.89"
15,"0.8","MARS 1","ML","1 ± 0.9","4 ± 0.9"
15,"0.8","MARS 2","ML","5.2 ± 1.74","8.6 ± 1.37"
15,"0.8","MARS 3","ML","11.6 ± 1.76","27.4 ± 2.52"
15,"0.8","RF","ML","72.62 ± 2.34","911.38 ± 29.46"
16,"0.8","Blink","MM","4 ± 2.02","4.2 ± 2.16"
16,"0.8","CMLM","MM","0 ± 0","0 ± 0"
16,"0.8","FarmCPU","MM","27.8 ± 2.96","304.4 ± 69.29"
16,"0.8","GLM","MM","66.6 ± 9.97","975.6 ± 129.56"
16,"0.8","MLM","MM","0 ± 0","0 ± 0"
16,"0.8","MLMM","MM","0 ± 0","0 ± 0"
16,"0.8","SUPER","MM","71 ± 14.1","1053.4 ± 229.34"
16,"0.8","BA","ML","108.1 ± 2.87","697.58 ± 14.04"
16,"0.8","BO","ML","93.82 ± 3.72","328.2 ± 10.37"
16,"0.8","DT","ML","16.4 ± 3.42","61.2 ± 3.02"
16,"0.8","MARS 1","ML","1.6 ± 0.81","3.2 ± 0.76"
16,"0.8","MARS 2","ML","5.8 ± 1.18","8 ± 2.63"
16,"0.8","MARS 3","ML","13.6 ± 0.49","25 ± 2.93"
16,"0.8","RF","ML","107.98 ± 2.22","750.24 ± 16.58"
17,"0.8","Blink","MM","3.6 ± 2.6","1 ± 1.11"
17,"0.8","CMLM","MM","0 ± 0","0 ± 0"
17,"0.8","FarmCPU","MM","72.4 ± 9.49","122 ± 21.26"
17,"0.8","GLM","MM","134 ± 21.33","316 ± 43.57"
17,"0.8","MLM","MM","0 ± 0","0 ± 0"
17,"0.8","MLMM","MM","0 ± 0","0 ± 0"
17,"0.8","SUPER","MM","142.4 ± 19.38","315 ± 43.2"
17,"0.8","BA","ML","221.86 ± 3.08","224.16 ± 8.24"
17,"0.8","BO","ML","191 ± 4.34","94.48 ± 7.66"
17,"0.8","DT","ML","35.2 ± 2.51","17.4 ± 4.89"
17,"0.8","MARS 1","ML","4.2 ± 1.18","0.6 ± 1.21"
17,"0.8","MARS 2","ML","12.4 ± 1.64","2.6 ± 1.03"
17,"0.8","MARS 3","ML","30.4 ± 1.37","8.2 ± 2.51"
17,"0.8","RF","ML","219.88 ± 3.27","239.7 ± 10.78"
