Regiao_Global_ID,Gene_ID,Chr,Start,End,Function
Chr1_R2,GSCOCG00028512001,chr1,32901209,32909879,putative Cation/H(+) antiporter 15
Chr1_R2,GSCOCG00028513001,chr1,32912453,32913903,"putative protein TIC110, chloroplastic"
Chr1_R2,GSCOCG00028514001,chr1,32913966,32919789,"putative protein TIC110, chloroplastic"
Chr1_R2,GSCOCG00016623001,chr1,32945437,32946005,"putative protein TIC110, chloroplastic"
Chr1_R2,GSCOCG00016622001,chr1,32955392,32958564,WRKY10
Chr1_R2,GSCOCG00016621001,chr1,32960739,32966031,F-box/LRR-repeat protein 3
Chr1_R2,GSCOCG00016620001,chr1,32967277,32969614,RRM domain-containing protein
Chr1_R2,GSCOCG00016619001,chr1,32983112,32983459,putative Senescence associated gene 20
Chr1_R2,GSCOCG00016618001,chr1,32986369,32990158,mitochondrial 28S ribosomal protein S29-related
Chr1_R2,GSCOCG00016617001,chr1,32990843,33006178,RING-type domain-containing protein
Chr1_R2,GSCOCG00016615001,chr1,33014111,33018295,Protein LURP-one-related like
Chr1_R2,GSCOCG00016614001,chr1,33018382,33019791,spermidine coumaroyl-CoA acyltransferase-like
Chr1_R2,GSCOCG00016613001,chr1,33021906,33025588,"Alanine--glyoxylate aminotransferase 2, mitochondrial"
Chr1_R2,GSCOCG00016612001,chr1,33029004,33033103,Iwr1 domain-containing protein
Chr1_R2,GSCOCG00016611001,chr1,33036612,33038638,Nodulin-like domain-containing protein
Chr1_R2,GSCOCG00016610001,chr1,33043243,33048339,PseudoU_synth_1 domain-containing protein
Chr1_R2,GSCOCG00016608001,chr1,33057154,33065355,"Protein TIC110, chloroplastic"
Chr1_R2,GSCOCG00016607001,chr1,33067135,33069540,Peroxidase
Chr1_R2,GSCOCG00016606001,chr1,33070947,33072160,Peroxidase
Chr1_R2,GSCOCG00016605001,chr1,33086259,33087302,FANCI_S4 domain-containing protein
Chr1_R2,GSCOCG00016604001,chr1,33098254,33100732,Peroxidase
Chr1_R2,GSCOCG00016603001,chr1,33107978,33108848,LOB domain-containing protein
Chr1_R3,GSCOCG00016367001,chr1,34489554,34492314,Cyclin-dependent kinase inhibitor 3
Chr1_R3,GSCOCG00016366001,chr1,34498086,34498234,N/A
Chr1_R3,GSCOCG00016365001,chr1,34498304,34502129,E3 ubiquitin-protein like
Chr1_R3,GSCOCG00016364001,chr1,34504761,34508884,E3 ubiquitin-protein like
Chr1_R3,GSCOCG00016363001,chr1,34510371,34518230,Transcriptional corepressor LEUNIG_HOMOLOG
Chr1_R3,GSCOCG00016362001,chr1,34521783,34524907,DUF862 domain-containing protein
Chr1_R3,GSCOCG00016361001,chr1,34525636,34529649,EamA-like transporter family
Chr1_R3,GSCOCG00016360001,chr1,34530567,34533930,Protein kinase domain-containing protein
Chr1_R3,GSCOCG00016359001,chr1,34535279,34536004,Phytocyanin domain-containing protein
Chr1_R3,GSCOCG00016358001,chr1,34537589,34539816,pentatricopeptide repeat-containing protein At3g22690-like
Chr1_R3,GSCOCG00016357001,chr1,34540483,34546749,putative NHL domain-containing protein
Chr1_R3,GSCOCG00016356001,chr1,34548200,34548787,conserved hypothetical protein
Chr1_R3,GSCOCG00016355001,chr1,34550738,34552666,CLAVATA3/ESR (CLE)-related protein TDIF
Chr1_R3,GSCOCG00016354001,chr1,34559241,34565753,putative AT5G48830.1
Chr1_R3,GSCOCG00016353001,chr1,34570578,34574658,CP-type G domain-containing protein
Chr1_R3,GSCOCG00016352001,chr1,34577337,34580756,vesicle-associated membrane protein 722
Chr1_R3,GSCOCG00016351001,chr1,34581363,34584220,Pantoate--beta-alanine ligase
Chr1_R3,GSCOCG00016350001,chr1,34585159,34588000,Protein SULFUR DEFICIENCY-INDUCED 1
Chr1_R3,GSCOCG00016349001,chr1,34589588,34593033,Alba domain-containing protein
Chr1_R3,GSCOCG00016348001,chr1,34594447,34596569,conserved hypothetical protein
Chr1_R3,GSCOCG00016347001,chr1,34597670,34601890,Sm-like protein LSM5
Chr1_R3,GSCOCG00016346001,chr1,34602740,34606125,Protein of unknown function (DUF1644)
Chr1_R3,GSCOCG00016344001,chr1,34607179,34612644,"3-ketoacyl-CoA thiolase 2, peroxisomal"
Chr1_R3,GSCOCG00016343001,chr1,34615159,34616561,conserved hypothetical protein
Chr1_R3,GSCOCG00016342001,chr1,34622197,34631708,Glyco_transf_28 domain-containing protein
Chr1_R3,GSCOCG00016339001,chr1,34641441,34645607,Pectate lyase
Chr1_R3,GSCOCG00016338001,chr1,34645706,34649679,Protein kinase domain-containing protein
Chr1_R3,GSCOCG00016337001,chr1,34654112,34660375,TPT domain-containing protein
Chr1_R3,GSCOCG00016336001,chr1,34661772,34664598,Alcohol dehydrogenase 1
Chr1_R3,GSCOCG00016335001,chr1,34664713,34668111,AT4G13220.1
Chr1_R3,GSCOCG00016334001,chr1,34670548,34674090,Protein kinase domain-containing protein
Chr1_R3,GSCOCG00016333001,chr1,34675481,34676372,conserved hypothetical protein
Chr1_R3,GSCOCG00016331001,chr1,34687698,34694995,TF-B3 domain-containing protein
Chr1_R3,GSCOCG00016329001,chr1,34698051,34699092,glycine-rich protein 5-like
Chr1_R3,GSCOCG00016328001,chr1,34699642,34703649,26S proteasome regulatory subunit 4
Chr1_R3,GSCOCG00016327001,chr1,34710420,34710953,putative Methylthioribose kinase
Chr1_R3,GSCOCG00016326001,chr1,34711497,34714276,HIT-type domain-containing protein
Chr1_R3,GSCOCG00016325001,chr1,34715076,34721090,BHLH domain-containing protein
Chr1_R3,GSCOCG00016324001,chr1,34728043,34733271,"Chaperonin CPN60-2, mitochondrial"
Chr1_R3,GSCOCG00016323001,chr1,34739421,34751250,CLIP-associated protein
Chr1_R3,GSCOCG00016322001,chr1,34753311,34755816,Lipase_GDSL domain-containing protein
Chr1_R3,GSCOCG00016321001,chr1,34764722,34766528,putative Tetraspanin-18
Chr1_R3,GSCOCG00016320001,chr1,34766816,34768233,putative Tetraspanin/Peripherin
Chr1_R3,GSCOCG00016318001,chr1,34770240,34776496,Protein of unknown function (DUF3741)
Chr1_R3,GSCOCG00016317001,chr1,34787256,34788523,"Photosystem I reaction center subunit IV B, chloroplastic"
Chr1_R3,GSCOCG00016315001,chr1,34789655,34792876,PF11998 - Protein of unknown function (DUF3493) (DUF3493)  (1 of 2)
Chr1_R3,GSCOCG00016314001,chr1,34793655,34796499,Glutaredoxin domain-containing protein
Chr1_R3,GSCOCG00016313001,chr1,34801375,34803126,Flavin-containing monooxygenase
Chr1_R3,GSCOCG00016310001,chr1,34819373,34836628,Myosin-6
Chr1_R3,GSCOCG00016308001,chr1,34853337,34856396,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein
Chr1_R3,GSCOCG00016307001,chr1,34856667,34859166,PfkB domain-containing protein
Chr1_R3,GSCOCG00016306001,chr1,34859349,34862551,PfkB domain-containing protein
Chr1_R3,GSCOCG00016304001,chr1,34865560,34869570,C2 domain-containing protein
Chr1_R3,GSCOCG00016303001,chr1,34871030,34871734,PRT_C domain-containing protein
Chr1_R3,GSCOCG00016302001,chr1,34872030,34873954,PfkB domain-containing protein
Chr1_R3,GSCOCG00016301001,chr1,34874106,34877790,PfkB domain-containing protein
Chr1_R3,GSCOCG00016300001,chr1,34878198,34884480,Protein kinase domain-containing protein
Chr1_R3,GSCOCG00016299001,chr1,34892687,34898202,WD repeat-containing protein WDS
Chr1_R3,GSCOCG00016298001,chr1,34898707,34903572,WD_REPEATS_REGION domain-containing protein
Chr1_R4,GSCOCG00016109001,chr1,36031137,36034639,PPM-type phosphatase domain-containing protein
Chr1_R4,GSCOCG00016108001,chr1,36035275,36041227,ETO1-like protein 1
Chr1_R4,GSCOCG00016107001,chr1,36047060,36052578,Tify domain-containing protein
Chr1_R4,GSCOCG00016106001,chr1,36059374,36063147,ANK_REP_REGION domain-containing protein
Chr1_R4,GSCOCG00016105001,chr1,36064086,36066108,Chlorophyllase
Chr1_R4,GSCOCG00016103001,chr1,36069850,36071625,Protein LIFEGUARD 2
Chr1_R4,GSCOCG00016102001,chr1,36071680,36076131,VAN3-binding protein
Chr1_R4,GSCOCG00016101001,chr1,36080346,36081992,Fe2OG dioxygenase domain-containing protein
Chr1_R4,GSCOCG00016100001,chr1,36082473,36088118,Protein kinase domain-containing protein
Chr1_R4,GSCOCG00016099001,chr1,36099293,36105659,STAS domain-containing protein
Chr1_R4,GSCOCG00016098001,chr1,36107929,36111697,Protein kinase domain-containing protein
Chr1_R4,GSCOCG00016097001,chr1,36116121,36119974,Hcy-binding domain-containing protein
Chr1_R4,GSCOCG00016096001,chr1,36120300,36121852,PTHR31833:SF2 - UPF0690 PROTEIN C1ORF52 (1 of 1)
Chr1_R4,GSCOCG00016095001,chr1,36123535,36124264,Proliferating cell nuclear antigen
Chr1_R4,GSCOCG00016094001,chr1,36125211,36126231,OB domain-containing protein
Chr1_R4,GSCOCG00016092001,chr1,36129948,36132360,IPPc domain-containing protein
Chr1_R4,GSCOCG00016091001,chr1,36132455,36132917,"putative type I inositol 1,4,5-trisphosphate 5-phosphatase CVP2-like"
Chr1_R4,GSCOCG00016090001,chr1,36133003,36133274,conserved hypothetical protein
Chr1_R4,GSCOCG00016089001,chr1,36133329,36134350,conserved hypothetical protein
Chr1_R4,GSCOCG00016088001,chr1,36145228,36146964,AAI domain-containing protein
Chr1_R4,GSCOCG00016087001,chr1,36150856,36151641,AAI domain-containing protein
Chr1_R4,GSCOCG00016086001,chr1,36153845,36154775,AAI domain-containing protein
Chr1_R4,GSCOCG00016085001,chr1,36160012,36164943,F-box domain-containing protein
Chr1_R4,GSCOCG00016084001,chr1,36165172,36168749,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit
Chr1_R4,GSCOCG00016082001,chr1,36173851,36174660,protein MARD1
Chr1_R4,GSCOCG00016080001,chr1,36176874,36179886,PF15365 - Proline-rich nuclear receptor coactivator (PNRC)  (1 of 2)
Chr1_R4,GSCOCG00016079001,chr1,36186160,36186663,AT3G22530.1
Chr1_R4,GSCOCG00016076001,chr1,36194565,36196877,Phenazine biosynthesis PhzC/PhzF protein
Chr1_R4,GSCOCG00016075001,chr1,36196956,36201116,putative AT1G03250.1
Chr1_R4,GSCOCG00016072001,chr1,36202687,36203028,SMP domain-containing protein
Chr1_R4,GSCOCG00016071001,chr1,36207066,36207809,OVATE domain-containing protein
Chr1_R4,GSCOCG00016069001,chr1,36216489,36217391,Plant protein of unknown function (DUF868)
Chr1_R4,GSCOCG00016067001,chr1,36218154,36219263,fasciclin-like arabinogalactan protein 21
Chr1_R4,GSCOCG00016066001,chr1,36219526,36220229,NAC domain-containing protein
Chr1_R4,GSCOCG00016065001,chr1,36222240,36223319,conserved hypothetical protein
Chr1_R4,GSCOCG00016063001,chr1,36226546,36229470,N-terminal acetyltransferase B complex catalytic subunit NAA20
Chr1_R4,GSCOCG00016062001,chr1,36232113,36239469,Copalyl diphosphate synthase
Chr1_R4,GSCOCG00016061001,chr1,36251445,36253935,Chalcone_isomerase domain-containing protein
Chr1_R4,GSCOCG00016060001,chr1,36253994,36258117,RRF domain-containing protein
Chr1_R4,GSCOCG00016058001,chr1,36265776,36267813,Patatin
Chr1_R4,GSCOCG00016057001,chr1,36280011,36286788,BTB domain-containing protein
Chr1_R4,GSCOCG00016056001,chr1,36288775,36291316,Cyclin
Chr1_R4,GSCOCG00016054001,chr1,36293500,36297727,WPP domain-containing protein
Chr1_R4,GSCOCG00016053001,chr1,36298756,36301167,Epimerase domain-containing protein
Chr1_R4,GSCOCG00016052001,chr1,36302415,36304543,AT4G02800.1
Chr1_R4,GSCOCG00016051001,chr1,36304618,36309143,conserved hypothetical protein
Chr1_R4,GSCOCG00016050001,chr1,36310543,36319929,FZO-like
Chr1_R4,GSCOCG00016049001,chr1,36322771,36323817,putative protein FANTASTIC FOUR 1
Chr1_R4,GSCOCG00016047001,chr1,36342805,36345689,"Pentatricopeptide repeat-containing protein At4g02820, mitochondrial"
Chr1_R4,GSCOCG00016046001,chr1,36347968,36348810,conserved hypothetical protein
Chr1_R4,GSCOCG00016045001,chr1,36350407,36358977,"Preprotein translocase subunit SCY2, chloroplastic"
Chr1_R4,GSCOCG00016044001,chr1,36360237,36363048,PTHR15681:SF1 - MAD2L1-BINDING PROTEIN (1 of 1)
Chr1_R4,GSCOCG00016043001,chr1,36363790,36369981,Helicase ATP-binding domain-containing protein
Chr1_R4,GSCOCG00016042001,chr1,36374063,36380152,BHLH domain-containing protein
Chr1_R4,GSCOCG00016041001,chr1,36394848,36397174,Aluminum-activated malate transporter like
Chr1_R4,GSCOCG00016040001,chr1,36397753,36398304,Gnk2-homologous domain-containing protein
Chr1_R4,GSCOCG00016039001,chr1,36399607,36403609,PMR5N domain-containing protein
Chr1_R4,GSCOCG00016037001,chr1,36412386,36414543,putative F-box protein At2g27310
Chr1_R4,GSCOCG00016035001,chr1,36417425,36418071,putative Outer envelope membrane protein 7
Chr1_R4,GSCOCG00016034001,chr1,36418765,36421993,Small nuclear ribonucleoprotein Sm D1
Chr1_R4,GSCOCG00016033001,chr1,36423021,36423831,Peptidase A1 domain-containing protein
Chr1_R4,GSCOCG00016031001,chr1,36432716,36433379,Peptidase A1 domain-containing protein
Chr1_R4,GSCOCG00016030001,chr1,36436342,36437673,Peptidase A1 domain-containing protein
Chr1_R5,GSCOCG00016020001,chr1,36482673,36488858,CUE domain-containing protein
Chr1_R5,GSCOCG00016018001,chr1,36491413,36495141,Glutathione peroxidase
Chr1_R5,GSCOCG00016016001,chr1,36505767,36517389,Protein HUA2-LIKE like
Chr1_R5,GSCOCG00016015001,chr1,36521608,36528135,CSC1-like protein At4g02900
Chr1_R5,GSCOCG00016014001,chr1,36528721,36538532,Mediator of RNA polymerase II transcription subunit 33A
Chr1_R5,GSCOCG00016013001,chr1,36539088,36542872,Exonuclease domain-containing protein
Chr1_R5,GSCOCG00016012001,chr1,36542938,36544093,putative ovule protein
Chr1_R5,GSCOCG00016010001,chr1,36547853,36550714,Sm-like protein LSM2
Chr1_R5,GSCOCG00016009001,chr1,36552561,36558129,BTB/POZ and MATH domain-containing protein 2
Chr1_R5,GSCOCG00016007001,chr1,36559919,36564023,putative AT4G02920.1
Chr1_R5,GSCOCG00016006001,chr1,36564726,36570175,Elongation factor Tu
Chr1_R5,GSCOCG00016005001,chr1,36570967,36575997,RING-type domain-containing protein
Chr1_R5,GSCOCG00016004001,chr1,36576295,36577715,conserved hypothetical protein
Chr1_R5,GSCOCG00016003001,chr1,36588093,36594718,RNA demethylase ALKBH10B
Chr1_R5,GSCOCG00016002001,chr1,36594947,36597430,BSD domain-containing protein
Chr1_R5,GSCOCG00016000001,chr1,36601891,36602703,Hexosyltransferase
Chr1_R5,GSCOCG00015999001,chr1,36644526,36648029,Endo/exonuclease/phosphatase domain-containing protein
Chr1_R5,GSCOCG00015998001,chr1,36653095,36659389,MFS domain-containing protein
Chr1_R5,GSCOCG00015997001,chr1,36665251,36665882,conserved hypothetical protein
Chr1_R5,GSCOCG00015996001,chr1,36665945,36669548,Protein kinase domain-containing protein
Chr1_R5,GSCOCG00015995001,chr1,36673600,36677477,Protein kinase domain-containing protein
Chr1_R5,GSCOCG00015994001,chr1,36683089,36685936,HPt domain-containing protein
Chr1_R5,GSCOCG00015993001,chr1,36686077,36687265,conserved hypothetical protein
Chr1_R5,GSCOCG00015991001,chr1,36692065,36693288,LRRNT_2 domain-containing protein
Chr1_R5,GSCOCG00015990001,chr1,36693518,36694075,conserved hypothetical protein
Chr1_R5,GSCOCG00015989001,chr1,36695789,36702374,WD_REPEATS_REGION domain-containing protein
Chr1_R5,GSCOCG00015988001,chr1,36705259,36707824,Pentatricopeptide repeat-containing protein At2g30780
Chr1_R5,GSCOCG00015985001,chr1,36713472,36716809,Abhydrolase_3 domain-containing protein
Chr1_R5,GSCOCG00015984001,chr1,36734112,36735500,conserved hypothetical protein
Chr1_R5,GSCOCG00015983001,chr1,36736280,36737228,Histone H2A
Chr1_R5,GSCOCG00015982001,chr1,36738573,36739588,Histone H2AX
Chr1_R5,GSCOCG00015981001,chr1,36741122,36744493,Aldo_ket_red domain-containing protein
Chr1_R5,GSCOCG00015980001,chr1,36744704,36746940,Aldo_ket_red domain-containing protein
Chr1_R5,GSCOCG00015978001,chr1,36749136,36757308,Serine/threonine-protein phosphatase
Chr1_R5,GSCOCG00015977001,chr1,36757769,36759048,"Nucleic acid-binding, OB-fold-like protein"
Chr1_R5,GSCOCG00015976001,chr1,36759415,36771931,Homeobox domain-containing protein
Chr1_R5,GSCOCG00015975001,chr1,36787044,36788669,WD_REPEATS_REGION domain-containing protein
Chr1_R5,GSCOCG00015973001,chr1,36793680,36805395,SCD domain-containing protein
Chr1_R5,GSCOCG00015972001,chr1,36805643,36809805,MPN domain-containing protein
Chr1_R5,GSCOCG00015971001,chr1,36813096,36817071,GTPase-activator protein OS=Handroanthus impetiginosus OX=429701 GN=CDL12
Chr1_R5,GSCOCG00015970001,chr1,36817469,36818557,conserved hypothetical protein
Chr1_R5,GSCOCG00015968001,chr1,36823828,36829788,RNA-binding protein BRN1
Chr1_R5,GSCOCG00015967001,chr1,36835671,36839258,Mitochondrial substrate carrier family protein
Chr1_R5,GSCOCG00015965001,chr1,36844621,36847712,U1 small nuclear ribonucleoprotein C
Chr1_R5,GSCOCG00015964001,chr1,36847880,36851775,DCD domain-containing protein
Chr1_R5,GSCOCG00015963001,chr1,36854099,36857951,BRCT domain-containing protein
Chr1_R5,GSCOCG00015962001,chr1,36859568,36863547,putative Secoisolariciresinol dehydrogenase
Chr1_R5,GSCOCG00015961001,chr1,36863622,36871714,"Bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase, chloroplastic"
Chr1_R5,GSCOCG00015960001,chr1,36877571,36880115,Flavin-containing monooxygenase
Chr1_R5,GSCOCG00015959001,chr1,36881132,36883676,conserved hypothetical protein
Chr2_R1,GSCOCG00039228001,chr2,5360637,5363399,60S acidic ribosomal protein P0
Chr2_R1,GSCOCG00039229001,chr2,5374402,5376182,Nematode resistance protein-like HSPRO2
Chr2_R1,GSCOCG00039230001,chr2,5384449,5388299,TPR_REGION domain-containing protein
Chr2_R1,GSCOCG00039231001,chr2,5388434,5393610,Glyco_transf_64 domain-containing protein
Chr2_R1,GSCOCG00039233001,chr2,5398658,5400687,plasma membrane intrinsic protein 1C
Chr2_R1,GSCOCG00039234001,chr2,5402650,5406782,Eukaryotic translation initiation factor 3 subunit F
Chr2_R1,GSCOCG00039236001,chr2,5412651,5413317,Homeobox domain-containing protein
Chr2_R1,GSCOCG00039237001,chr2,5418066,5423315,MPN domain-containing protein
Chr2_R1,GSCOCG00039238001,chr2,5423370,5425050,FAS1 domain-containing protein
Chr2_R1,GSCOCG00039240001,chr2,5431740,5433155,HXXXD-type acyl-transferase family protein
Chr2_R1,GSCOCG00039242001,chr2,5453010,5453957,C2 domain-containing protein
Chr2_R1,GSCOCG00039243001,chr2,5455072,5463003,Peroxisomal nicotinamide adenine dinucleotide carrier
Chr2_R1,GSCOCG00039244001,chr2,5463378,5464285,putative Signal peptidase complex subunit 2
Chr2_R1,GSCOCG00039245001,chr2,5464407,5467892,putative signal peptidase complex subunit 2
Chr2_R1,GSCOCG00039246001,chr2,5472983,5479094,AT2G39950.1
Chr2_R1,GSCOCG00039247001,chr2,5495669,5501421,Coronatine-insensitive protein 1
Chr2_R1,GSCOCG00039248001,chr2,5506610,5509645,Transcription factor DIVARICATA
Chr2_R1,GSCOCG00039249001,chr2,5511174,5514837,Laccase
